openFlightsAirportId,airportName,city,country,IATA, ICAO,longitude,latitude,altitude,timeZone,DST,timeZone,type,source
492,London Luton Airport,London,United Kingdom,LTN,EGGW,51.87469864,-0.368333012,526,0,E,Europe/London,airport,OurAirports
499,Jersey Airport,Jersey,Jersey,JER,EGJJ,49.207901,-2.195509911,277,0,E,Europe/Jersey,airport,OurAirports
502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.14810181,-0.190277994,202,0,E,Europe/London,airport,OurAirports
503,London City Airport,London,United Kingdom,LCY,EGLC,51.505299,0.055278,19,0,E,Europe/London,airport,OurAirports
3469,San Francisco International Airport,San Francisco,United States,SFO,KSFO,37.61899948,-122.375,13,-8,A,America/Los_Angeles,airport,OurAirports
3720,Portland International Airport,Portland,United States,PDX,KPDX,45.58869934,-122.5979996,31,-8,A,America/Los_Angeles,airport,OurAirports
3453,Metropolitan Oakland International Airport,Oakland,United States,OAK,KOAK,37.72129822,-122.2210007,9,-8,A,America/Los_Angeles,airport,OurAirports
3484,Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.94250107,-118.4079971,125,-8,A,America/Los_Angeles,airport,OurAirports
3486,Cleveland Hopkins International Airport,Cleveland,United States,CLE,KCLE,41.4117012,-81.84980011,791,-5,A,America/New_York,airport,OurAirports
3582,Long Beach /Daugherty Field/ Airport,Long Beach,United States,LGB,KLGB,33.81769943,-118.1520004,60,-8,A,America/Los_Angeles,airport,OurAirports
3644,Bob Hope Airport,Burbank,United States,BUR,KBUR,34.20069885,-118.3590012,778,-8,A,America/Los_Angeles,airport,OurAirports
3720,Portland International Airport,Portland,United States,PDX,KPDX,45.58869934,-122.5979996,31,-8,A,America/Los_Angeles,airport,OurAirports
